glyph,reference_font,reference_upm,reference_width_em,reference_height_em,reference_center_x_em,reference_center_y_em,old_width_em,old_height_em,old_center_x_em,old_center_y_em,new_width_em,new_height_em,new_center_x_em,new_center_y_em,uniform_scale,dx,dy
つ,Noto Sans CJK JP Regular,1000,0.835,0.636,0.4905,0.332,0.46875,0.4052734375,0.4677734375,0.34423828125,0.5966796875,0.5205078125,0.47900390625,0.33837890625,0.932826,11.136,8.734
つ,Source Han Sans JP Regular,1000,0.835,0.636,0.4905,0.332,0.46875,0.4052734375,0.4677734375,0.34423828125,0.5966796875,0.5205078125,0.47900390625,0.33837890625,0.932826,11.136,8.734
て,Noto Sans CJK JP Regular,1000,0.797,0.759,0.4835,0.3485,0.5087890625,0.595703125,0.46826171875,0.349609375,0.5615234375,0.677734375,0.47607421875,0.349609375,1.04473,10.802,-5.568
て,Source Han Sans JP Regular,1000,0.797,0.759,0.4835,0.3485,0.5087890625,0.595703125,0.46826171875,0.349609375,0.5615234375,0.677734375,0.47607421875,0.349609375,1.04473,10.802,-5.568
と,Noto Sans CJK JP Regular,1000,0.64,0.806,0.521,0.375,0.474609375,0.5703125,0.4677734375,0.322265625,0.634765625,0.6875,0.494140625,0.3486328125,1.10382,26.752,11.5
と,Source Han Sans JP Regular,1000,0.64,0.806,0.521,0.375,0.474609375,0.5703125,0.4677734375,0.322265625,0.634765625,0.6875,0.494140625,0.3486328125,1.10382,26.752,11.5
な,Noto Sans CJK JP Regular,1000,0.838,0.853,0.513,0.3755,0.525390625,0.6142578125,0.4658203125,0.35009765625,0.6279296875,0.7333984375,0.48974609375,0.36279296875,1.104894,22.156,11.006
な,Source Han Sans JP Regular,1000,0.838,0.853,0.513,0.3755,0.525390625,0.6142578125,0.4658203125,0.35009765625,0.6279296875,0.7333984375,0.48974609375,0.36279296875,1.104894,22.156,11.006
に,Noto Sans CJK JP Regular,1000,0.775,0.793,0.5115,0.3635,0.580078125,0.5419921875,0.466796875,0.34716796875,0.708984375,0.6669921875,0.4892578125,0.35498046875,1.066407,22.388,1.862
に,Source Han Sans JP Regular,1000,0.775,0.793,0.5115,0.3635,0.580078125,0.5419921875,0.466796875,0.34716796875,0.708984375,0.6669921875,0.4892578125,0.35498046875,1.066407,22.388,1.862
ぬ,Noto Sans CJK JP Regular,1000,0.891,0.797,0.5205,0.3845,0.6416015625,0.4912109375,0.46728515625,0.35009765625,0.7783203125,0.6435546875,0.49365234375,0.36767578125,1.17419,28.246,16.114
ぬ,Source Han Sans JP Regular,1000,0.891,0.797,0.5205,0.3845,0.6416015625,0.4912109375,0.46728515625,0.35009765625,0.7783203125,0.6435546875,0.49365234375,0.36767578125,1.17419,28.246,16.114
ね,Noto Sans CJK JP Regular,1000,0.918,0.832,0.514,0.378,0.6064453125,0.7021484375,0.46826171875,0.35009765625,0.7919921875,0.767578125,0.49072265625,0.3642578125,1.20191,23.418,12.286
ね,Source Han Sans JP Regular,1000,0.918,0.832,0.514,0.378,0.6064453125,0.7021484375,0.46826171875,0.35009765625,0.7919921875,0.767578125,0.49072265625,0.3642578125,1.20191,23.418,12.286
の,Noto Sans CJK JP Regular,1000,0.82,0.749,0.498,0.3435,0.5458984375,0.41015625,0.46923828125,0.34765625,0.6455078125,0.580078125,0.48388671875,0.345703125,0.959665,17.726,-7.628
の,Source Han Sans JP Regular,1000,0.82,0.749,0.498,0.3435,0.5458984375,0.41015625,0.46923828125,0.34765625,0.6455078125,0.580078125,0.48388671875,0.345703125,0.959665,17.726,-7.628
は,Noto Sans CJK JP Regular,1000,0.835,0.808,0.5325,0.367,0.5244140625,0.6025390625,0.46630859375,0.34619140625,0.701171875,0.705078125,0.5,0.3564453125,1.0844,34.39,7.154
は,Source Han Sans JP Regular,1000,0.835,0.808,0.5325,0.367,0.5244140625,0.6025390625,0.46630859375,0.34619140625,0.701171875,0.705078125,0.5,0.3564453125,1.0844,34.39,7.154
